state_abbrev;state;municipality_code;geocode;period;refor;secveg;pasture;crop;urban;core;edge;port;river;road;mining;fire;dgorg;dgfor;defor;deorg;precp;precn;tempp
MT;Mato Grosso;Alto Araguaia;5100300;2017;1.0;0.169223647665653;0.422441916854032;0.075089273905569;0.000883629737861;0.166148657584976;115.414.333.285.804;0.0;0.684217525078144;112.420.575.200.135;0;0.118993233633582;0.0;0.0;NA;NA;0.225421500512283;0;0.446598423152325
MT;Mato Grosso;Alto Boa Vista;5100359;2017;0.29116561316957;0.228856393761656;0.352677244100873;0.118550152715086;0.000615491390741;0.162445603697597;604.295.494.552.389;0.0;0.0;601.655.182.954.573;0;0.605157471993236;0.204991593811413;0.612120066595673;0.055480898444999;0.017334452975048;0;0;179.169.192.756.966
MT;Mato Grosso;Alto Garças;5100409;2017;NA;0.119508448540707;0.302239469641847;0.300088932007438;0.001527054199799;0.124440132589538;954.575.085.496.584;0.0;0.0;97.227.120.357.369;1,01E+05;0.184962691286202;NA;NA;NA;NA;0.25374337569524;0;0.530202504519696
MT;Mato Grosso;Alto Paraguai;5100508;2017;0.218048325953832;0.178764719388592;0.394102404303474;0.023911831272345;0.001177219858462;0.195197953225965;692.249.344.246.813;0.0;194.814.483.123.754;103.305.810.724.835;0;0.100819882141942;0.005069729640108;0.022880484799476;0.004048582995951;9,14E+06;0.308449038687965;0.660962225759924;0.165325952076384
MT;Mato Grosso;Alto Taquari;5100607;2017;NA;0.105249613998971;0.347143592382913;0.398524618287871;0.003035984925014;0.051123691885401;549.986.743.170.809;0.0;0.721092535141912;603.273.743.987.207;0;0.189134808853119;NA;NA;NA;NA;0.193275663466757;0;0.465111411853028
MT;Mato Grosso;Apiacás;5100805;2017;0.885149979487172;0.02459874958829;0.078306514069357;0;0.000218980296067;0.828058004385639;382.919.707.191.557;0.0;227.114.711.274.199;448.866.587.108.952;0;0.018941284339782;0.024386974680134;0.027230997371742;0.005376786385859;0.004795346155862;0;0;0.405523898447718
MT;Mato Grosso;Araguaiana;5101001;2017;0.38905601724354;0.077268186016702;0.458547757733416;0.019067277422762;0.000175322191501;0.3128899696507;74.890.686.451.949;0.0;101.702.977.986.553;112.225.128.914.867;0;0.181952280857027;0.025170049724039;0.064087974263423;0.001517738569532;5,89E+07;0.151272509564433;0;0.747822179014827
MT;Mato Grosso;Araguainha;5101209;2017;NA;0.078118103980934;0.423073528113691;0.005207873598729;0.000808563019802;0.272839615146968;417.453.094.842.225;0.0;0.367915963241836;388.290.233.149.851;0;0.115966964900206;NA;NA;NA;NA;0.159101463870425;0;0.862642619135596
MT;Mato Grosso;Araputanga;5101258;2017;0.218004379458925;0.064369900271985;0.70168479903294;0.002606527651859;0.002858779527686;0.18434572378362;181.492.535.673.642;0.0;0.448197754882011;999.185.962.505.736;0;0;0.07290880731438;0.330510998936161;0.004892086330935;0.001081356147828;0.136357885410628;0.308972780814832;0.031921932711737
MT;Mato Grosso;Arenápolis;5101308;2017;0.112795952409321;0.184394071490846;0.585585585585586;0.114065678581808;0.010613376679256;0.036762569020633;215.992.550.109.822;0.0;0.598788794809159;49.555.252.147.482;0;0.016477272727273;0.002209029407704;0.019135991556042;0.010822510822511;0.001207729468599;630.112.955.146.332;109.498.014.972.115;179.016.240.619.143
MT;Mato Grosso;Aripuanã;5101407;2017;0.829382945684288;0.044705628121398;0.114977910103726;7,68E+05;0.00039643302827;0.758677487514406;621.515.119.929.389;0.0;308.438.874.857.266;133.899.426.503.679;0;0.021065279837786;0.036175181427639;0.042520569203965;0.012900982932033;0.010905709293806;0.000251179885544;0.032201261326725;0.117275888560435
MT;Mato Grosso;Barão de Melgaço;5101605;2017;0.852451563616715;0.166877445898489;0.104077899661849;0.000135694784436;8,49E+05;0.524628603375001;989.264.174.670.951;0.0;332.963.587.019.288;135.867.739.565.574;0;0.19525446750711;0.118474584250552;0.137541891267028;0.004529806124298;0.003886211720815;0.131808425104787;0.279612469551193;0.004013035241183
MT;Mato Grosso;Barra do Bugres;5101704;2017;0.364828817285062;0.158536828864086;0.442605275243096;0.003703851606334;0.001382557927495;0.25045424595172;916.696.426.547.161;0.0;180.542.906.196.619;187.603.282.138.423;0;0.106872315501757;0.060927144307454;0.162255055137625;0.010772273105745;0.00394518668166;0.029659008401532;0.146421841477039;123.641.641.690.739
MT;Mato Grosso;Barra do Garças;5101803;2017;0.149935334465988;0.089423461897771;0.43821566795676;0.049279327372214;0.002408600964904;0.291592152675831;942.070.872.017.132;0.0;0.334552518089501;13.506.421.660.241;0;0.380336081828619;0.0081408935124;0.052480725996177;0.0;0.0;0.384066134830233;0.967738276420099;0.057179165876498
MT;Mato Grosso;Bom Jesus do Araguaia;5101852;2017;0.291867548428183;0.092857547597461;0.311508386219402;0.259193676337263;0.000317446616504;0.245240253853128;497.278.767.299.648;0.0;0.0;610.247.253.990.709;0;0.237175585191744;0.097983117399284;0.312367176408021;0.039233652644731;0.012061150802796;0;0;0.690535414676225
MT;Mato Grosso;Brasnorte;5101902;2017;0.636805271403732;0.078057113852704;0.214705358732419;0.137830067538135;0.000298754089258;0.454096417031883;895.741.600.719.387;0.0;187.786.077.324.416;279.087.406.012.091;0;0.081554979637171;0.089949093828202;0.136127267491995;0.013720803773537;0.008891766306352;0;0;0.110727496744569
MT;Mato Grosso;Cáceres;5102504;2017;0.434891149084753;0.09779372471181;0.252154190543972;0.003743206203871;0.001503131453992;0.314961250427883;223.874.553.050.879;2.0;306.663.480.089.852;248.606.311.962.088;0;0.094187412156568;0.074059528710366;0.164459996526447;0.016280121454874;0.007225184930329;0.051055894650234;0.095485823093345;0.09738629402097
MT;Mato Grosso;Campinápolis;5102603;2017;0.974304068522324;0.066382287223238;0.385882591915499;0.054936014625228;0.000468397204315;0.377097298395287;609.603.299.761.825;0.0;0.0;101.429.401.596.455;0;0.40944819372767;0.487530943919769;0.500388902880373;0.0;0.0;0.152398202016759;0.503062026074738;0.084653924976022
MT;Mato Grosso;Campo Novo do Parecis;5102637;2017;0.851746507752445;0.049885269648374;0.09607224807394;0.369252265764208;0.001304251605945;0.41385609352767;443.994.618.942.276;0.0;149.759.067.452.023;254.645.842.931.712;0;0.133605674043257;0.086782420045093;0.10162144820209;0.001521973492295;0.001303922633924;0.000334236641547;0.202681099434382;0.016377595435826
