geocode;municipality;Disease_Burden;deorg;tot2010;prop_urb2010;prop_rur2010;ipm
1100015;Alta Floresta D'Oeste;3420.0;0.0447758429047795;24392.0;0.572728763529026;0.427271236470974;0.1749656045
1100023;Ariquemes;79733.0;0.0601202404809615;90353.0;0.846955828804799;0.153044171195201;0.1338465335
1100031;Cabixi;472.0;0.050256449513894005;6313.0;0.426580072865516;0.573419927134484;0.16321114975
1100049;Cacoal;12135.0;0.023383478490367;78574.0;0.788059663501922;0.211940336498078;0.1335235005
1100056;Cerejeiras;1435.0;0.024317570165321;17029.0;0.846732045334429;0.15326795466557;0.17013535775
1100064;Colorado do Oeste;954.0;0.017139606002417998;18591.0;0.734602764778656;0.265397235221344;0.148286593
1100072;Corumbiara;386.0;0.025607056613898498;8783.0;0.294887851531367;0.705112148468633;0.18633976124999999
1100080;Costa Marques;7410.0;0.100681010882599;13678.0;0.548106448311157;0.451893551688843;0.21219747975
1100098;Espigão D'Oeste;4958.0;0.030887123313431502;28729.0;0.71739357443698;0.28260642556302;0.17039902875
1100106;Guajará-Mirim;30881.0;0.0075186197793909995;41656.0;0.845184367198003;0.154815632801997;0.207456771
1100114;Jaru;15416.0;0.025178260721231;52005.0;0.675281222959331;0.324718777040669;0.150551137
1100122;Ji-Paraná;21311.0;0.009815798692199501;116610.0;0.899219620958751;0.100780379041249;0.14450318750000002
1100130;Machadinho D'Oeste;83831.0;0.0940012520407035;31135.0;0.519447567046732;0.480552432953268;0.20218881525
1100148;Nova Brasilândia D'Oeste;2229.0;0.044695525909792005;19874.0;0.421656435543927;0.578343564456073;0.170984113
1100155;Ouro Preto do Oeste;7588.0;0.016323633782825;37928.0;0.742986711664206;0.257013288335794;0.14455512275000001
1100189;Pimenta Bueno;4027.0;0.048860962873701994;33822.0;0.869759328247886;0.130240671752114;0.142336839
1100205;Porto Velho;479070.0;0.070015200205861;428527.0;0.91180485710352;0.0881951428964803;0.11896564475
1100254;Presidente Médici;5503.0;0.019474196689386998;22319.0;0.596039249070299;0.403960750929701;0.16063619175
1100262;Rio Crespo;6903.0;0.06479594807009399;3316.0;0.32086851628468;0.67913148371532;0.15867303249999998
1100288;Rolim de Moura;3428.0;0.021515975526852502;50648.0;0.817978992260306;0.182021007739694;0.1369748645
1100296;Santa Luzia D'Oeste;535.0;0.0260149130074565;8886.0;0.509227999099707;0.490772000900293;0.177654329
1100304;Vilhena;5643.0;0.019241071879833;76202.0;0.947717907666465;0.0522820923335345;0.15082143950000002
1100320;São Miguel do Guaporé;2543.0;0.046076114028269;21828.0;0.388033718160161;0.611966281839839;0.195511657
1100338;Nova Mamoré;63345.0;0.110730696969011;22546.0;0.579570655548656;0.420429344451344;0.204144923
1100346;Alvorada D'Oeste;4102.0;0.036535285452841;16853.0;0.523586305108883;0.476413694891117;0.175274847
1100379;Alto Alegre dos Parecis;936.0;0.058474271320619;12816.0;0.285346441947566;0.714653558052434;0.185242259
1100403;Alto Paraíso;38021.0;0.10358416213173201;17135.0;0.478669390137146;0.521330609862854;0.169814891
1100452;Buritis;77676.0;0.175629135071448;32383.0;0.559614612605379;0.440385387394621;0.20935737975
1100502;Novo Horizonte do Oeste;1065.0;0.036995515695067496;10240.0;0.16923828125;0.83076171875;0.151830986
1100601;Cacaulândia;1882.0;0.081640002057719;5736.0;0.360704323570432;0.639295676429568;0.17408415225
1100700;Campo Novo de Rondônia;39721.0;0.11136844068639651;12665.0;0.266166600868535;0.733833399131465;0.21607028125
1100809;Candeias do Jamari;69740.0;0.067628019176158;19779.0;0.651549623337884;0.348450376662116;0.17547444675
1100908;Castanheiras;903.0;0.0301258492036975;3575.0;0.233846153846154;0.766153846153846;0.150010938
1100924;Chupinguaia;1180.0;0.052996773659828;8301.0;0.441272135887243;0.558727864112758;0.16183316925000002
1100940;Cujubim;42145.0;0.122898298134099;15854.0;0.696543459063959;0.303456540936041;0.218078968
1101005;Governador Jorge Teixeira;2168.0;0.021003724997975502;10512.0;0.224600456621005;0.775399543378995;0.1856076695
1101104;Itapuã do Oeste;42598.0;0.033005277784859996;8566.0;0.609619425636236;0.390380574363764;0.170643751
1101203;Ministro Andreazza;625.0;0.0190298507462685;10352.0;0.296947449768161;0.703052550231839;0.1452912225
1101302;Mirante da Serra;3133.0;0.042949429696174504;11878.0;0.542515575012628;0.457484424987372;0.185710662
1101401;Monte Negro;12896.0;0.10218290320892001;14091.0;0.524448229366262;0.475551770633738;0.181365125
1101435;Nova União;830.0;0.0354544333456655;7493.0;0.20565861470706;0.79434138529294;0.17745287599999998
1101450;Parecis;453.0;0.075410150628418;4810.0;0.368814968814969;0.631185031185031;0.17934375824999998
1101468;Pimenteiras do Oeste;556.0;0.035541444037262;2315.0;0.558099352051836;0.441900647948164;0.19240105225
1101476;Primavera de Rondônia;156.0;0.0187051754215935;3524.0;0.364358683314415;0.635641316685585;0.186050741
1101484;São Felipe D'Oeste;266.0;0.012614259597805998;6018.0;0.239946826188102;0.760053173811898;0.15193319225000002
1101492;São Francisco do Guaporé;5778.0;0.065526724105307;16035.0;0.513065169940755;0.486934830059245;0.21301582125000001
1101500;Seringueiras;1639.0;0.066154830454255;11629.0;0.378106457992949;0.621893542007051;0.201150611
1101559;Teixeirópolis;538.0;0.0217672413793105;4888.0;0.351063829787234;0.648936170212766;0.17153106499999998
1101609;Theobroma;9806.0;0.059934133357394;10649.0;0.185745140388769;0.814254859611231;0.1944944385
1101708;Urupá;1788.0;0.0328938517422305;12974.0;0.395945737629104;0.604054262370896;0.18798755125
1101757;Vale do Anari;15255.0;0.076203080651848;9384.0;0.340153452685422;0.659846547314578;0.23465370925
1101807;Vale do Paraíso;2063.0;0.034079191585894;8210.0;0.277222898903776;0.722777101096224;0.180961427
1200013;Acrelândia;11751.0;0.1264184113792555;12538.0;0.471845589408199;0.528154410591801;0.2187965255
1200054;Assis Brasil;615.0;0.015766159585009;6072.0;0.60935441370224;0.39064558629776;0.232711288
1200104;Brasiléia;2115.0;0.043800306157721;21398.0;0.666277222170296;0.333722777829704;0.23086070600000003
1200138;Bujari;2340.0;0.0493491009860155;8471.0;0.43595797426514;0.56404202573486;0.20700983
1200179;Capixaba;3800.0;0.062564161058515;8798.0;0.446578767901796;0.553421232098204;0.22102409375
1200203;Cruzeiro do Sul;308627.0;0.010001202987784001;78507.0;0.704726967022049;0.295273032977951;0.20599747
1200252;Epitaciolândia;1290.0;0.047179275345214;15100.0;0.70317880794702;0.29682119205298;0.2233608385
1200302;Feijó;1724.0;0.006699381780568;32412.0;0.513266691348883;0.486733308651117;0.27892015025
1200328;Jordão;2766.0;0.005496851318177;6577.0;0.345446252090619;0.654553747909381;0.286710582
1200336;Mâncio Lima;106841.0;0.008664810990392501;15206.0;0.575430751019334;0.424569248980666;0.25167681125
