municipality;geocode;Disease_Burden
Trairão;1508050;6547
Trizidela do Vale;2112233;325
Tucumã;1508084;1685
Tucuruí;1508100;75911
Tufilândia;2112274;171
Tuntum;2112308;505
Tupirama;1721257;13
Tupiratins;1721307;17
Turiaçu;2112407;5285
Turilândia;2112456;1301
Uarini;1304260;19159
Uiramutã;1400704;5191
Ulianópolis;1508126;2807
União do Sul;5108303;339
Uruará;1508159;7041
Urucará;1304302;8264
Urucurituba;1304401;190
Urupá;1101708;1788
Vale de São Domingos;5108352;25
Vale do Anari;1101757;15255
Vale do Paraíso;1101807;2063
Vargem Grande;2112704;735
Vera;5108501;980
Viana;2112803;250
Vigia;1508209;784
Vila Bela da Santíssima Trindade;5105507;138
Vila Nova dos Martírios;2112852;138
Vila Rica;5108600;765
Vilhena;1100304;5643
Viseu;1508308;27746
Vitorino Freire;2113009;879
Vitória do Jari;1600808;1170
Vitória do Mearim;2112902;1481
Vitória do Xingu;1508357;2750
Várzea Grande;5108402;1907
Wanderlândia;1722081;296
Xambioá;1722107;559
Xapuri;1200708;3076
Xinguara;1508407;1195
Zé Doca;2114007;3299
Água Azul do Norte;1500347;466
Água Boa;5100201;305
Óbidos;1505106;3251
